session_id,device,user_market
sess_10000,mobile,FR
sess_10001,desktop,FR
sess_10002,desktop,PT
sess_10003,mobile,FR
sess_10004,mobile,PT
sess_10005,mobile,ES
sess_10006,mobile,GB
sess_10007,desktop,PT
sess_10008,mobile,ES
sess_10009,desktop,FR
sess_10010,mobile,ES
sess_10011,desktop,DE
sess_10012,desktop,IT
sess_10013,mobile,IT
sess_10014,mobile,ES
sess_10015,mobile,ES
sess_10016,mobile,ES
sess_10017,mobile,FR
sess_10018,mobile,IT
sess_10019,mobile,PT
sess_10020,mobile,DE
sess_10021,mobile,FR
sess_10022,mobile,MX
sess_10023,mobile,DE
sess_10024,mobile,MX
sess_10025,desktop,IT
sess_10026,mobile,ES
sess_10027,mobile,ES
sess_10028,mobile,DE
sess_10029,mobile,ES
sess_10030,mobile,FR
sess_10031,mobile,IT
sess_10032,mobile,IT
sess_10033,desktop,IT
sess_10034,desktop,ES
sess_10035,desktop,FR
sess_10036,mobile,IT
sess_10037,mobile,CO
sess_10038,desktop,DE
sess_10039,mobile,MX
sess_10040,mobile,GB
sess_10041,mobile,IT
sess_10042,mobile,ES
sess_10043,desktop,DE
sess_10044,mobile,IT
sess_10045,desktop,IT
sess_10046,mobile,FR
sess_10047,mobile,IT
sess_10048,mobile,FR
sess_10049,mobile,IT
sess_10050,desktop,ES
sess_10051,desktop,GB
sess_10052,desktop,ES
sess_10053,desktop,ES
sess_10054,mobile,FR
sess_10055,desktop,DE
sess_10056,mobile,FR
sess_10057,mobile,ES
sess_10058,mobile,IT
sess_10059,mobile,FR
sess_10060,mobile,MX
sess_10061,mobile,MX
sess_10062,desktop,IT
sess_10063,mobile,FR
sess_10064,mobile,DE
sess_10065,mobile,ES
sess_10066,mobile,FR
sess_10067,desktop,FR
sess_10068,mobile,MX
sess_10069,desktop,ES
sess_10070,desktop,IT
sess_10071,mobile,DE
sess_10072,mobile,FR
sess_10073,desktop,ES
sess_10074,desktop,CO
sess_10075,desktop,IT
sess_10076,desktop,IT
sess_10077,mobile,ES
sess_10078,mobile,FR
sess_10079,mobile,FR
sess_10080,desktop,ES
sess_10081,mobile,ES
sess_10082,mobile,PT
sess_10083,mobile,ES
sess_10084,mobile,ES
sess_10085,mobile,IT
sess_10086,desktop,GB
sess_10087,mobile,ES
sess_10088,desktop,IT
sess_10089,mobile,ES
sess_10090,mobile,ES
sess_10091,desktop,ES
sess_10092,desktop,PT
sess_10093,mobile,ES
sess_10094,desktop,ES
sess_10095,mobile,FR
sess_10096,mobile,PT
sess_10097,mobile,ES
sess_10098,mobile,FR
sess_10099,mobile,ES
sess_10100,mobile,FR
sess_10101,mobile,IT
sess_10102,mobile,IT
sess_10103,mobile,FR
sess_10104,desktop,FR
sess_10105,mobile,ES
sess_10106,mobile,FR
sess_10107,desktop,ES
sess_10108,mobile,GB
sess_10109,mobile,CO
sess_10110,mobile,CO
sess_10111,mobile,PT
sess_10112,desktop,IT
sess_10113,desktop,DE
sess_10114,mobile,ES
sess_10115,desktop,IT
sess_10116,desktop,FR
sess_10117,mobile,FR
sess_10118,desktop,GB
sess_10119,mobile,ES
sess_10120,desktop,FR
sess_10121,desktop,MX
sess_10122,mobile,ES
sess_10123,mobile,FR
sess_10124,mobile,AR
sess_10125,mobile,IT
sess_10126,desktop,IT
sess_10127,desktop,ES
sess_10128,mobile,FR
sess_10129,mobile,PT
sess_10130,mobile,IT
sess_10131,mobile,IT
sess_10132,mobile,ES
sess_10133,mobile,ES
sess_10134,desktop,CO
sess_10135,mobile,FR
sess_10136,mobile,IT
sess_10137,desktop,ES
sess_10138,mobile,DE
sess_10139,desktop,MX
sess_10140,desktop,IT
sess_10141,mobile,ES
sess_10142,mobile,IT
sess_10143,mobile,GB
sess_10144,mobile,FR
sess_10145,mobile,PT
sess_10146,mobile,IT
sess_10147,mobile,AR
sess_10148,mobile,IT
sess_10149,mobile,ES
sess_10150,desktop,FR
sess_10151,mobile,ES
sess_10152,mobile,AR
sess_10153,mobile,GB
sess_10154,desktop,DE
sess_10155,mobile,FR
sess_10156,desktop,ES
sess_10157,desktop,GB
sess_10158,mobile,FR
